time;cwnd;rtt;dupack;retransmissions;drops;rto
10.1;0;0;0;0;0;3.000000
10.18051;2.000;0.080;0;0;0;0.240000
10.26749;3.000;0.090;0;0;0;0.210000
10.26917;4.000;0.090;0;0;0;0.200000
10.35446;5.000;0.090;0;0;0;0.200000
10.35614;6.000;0.090;0;0;0;0.200000
10.35782;7.000;0.090;0;0;0;0.200000
10.3595;8.000;0.090;0;0;0;0.200000
10.44144;9.000;0.090;0;0;0;0.200000
10.44312;10.000;0.090;0;0;0;0.200000
10.4448;11.000;0.090;0;0;0;0.200000
10.44648;12.000;0.090;0;0;0;0.200000
10.44816;13.000;0.090;0;0;0;0.200000
10.44984;14.000;0.090;0;0;0;0.200000
10.45152;15.000;0.090;0;0;0;0.200000
10.4532;16.000;0.090;0;0;0;0.200000
10.52842;17.000;0.090;0;0;0;0.200000
10.5301;18.000;0.090;0;0;0;0.200000
10.53178;19.000;0.090;0;0;0;0.200000
10.53346;20.000;0.090;0;0;0;0.200000
10.53514;21.000;0.090;0;0;0;0.200000
10.53682;22.000;0.090;0;0;0;0.200000
10.5385;23.000;0.090;0;0;0;0.200000
10.54018;24.000;0.090;0;0;0;0.200000
10.54186;25.000;0.090;0;0;0;0.200000
10.54354;26.000;0.100;0;0;0;0.200000
10.54522;27.000;0.100;0;0;0;0.200000
10.5469;28.000;0.100;0;0;0;0.200000
10.54858;29.000;0.100;0;0;0;0.200000
10.55026;30.000;0.100;0;0;0;0.200000
10.55194;31.000;0.100;0;0;0;0.200000
10.55362;32.000;0.100;0;0;0;0.200000
10.61539;33.000;0.090;0;0;0;0.200000
10.61707;34.000;0.090;0;0;0;0.200000
10.61875;35.000;0.090;0;0;0;0.200000
10.62043;36.000;0.090;0;0;0;0.200000
10.62211;37.000;0.090;0;0;0;0.200000
10.62379;38.000;0.090;0;0;0;0.200000
10.62547;39.000;0.090;0;0;0;0.200000
10.62715;40.000;0.090;0;0;0;0.200000
10.62883;41.000;0.090;0;0;0;0.200000
10.63051;42.000;0.100;0;0;0;0.200000
10.63219;43.000;0.100;0;0;0;0.200000
10.63387;44.000;0.100;0;0;0;0.200000
10.63555;45.000;0.100;0;0;0;0.200000
10.63723;46.000;0.100;0;0;0;0.200000
10.63891;47.000;0.100;0;0;0;0.200000
10.64059;48.000;0.100;0;0;0;0.200000
10.64227;49.000;0.100;0;0;0;0.200000
10.64395;50.000;0.100;0;0;0;0.200000
10.64563;51.000;0.100;0;0;0;0.200000
10.64731;52.000;0.100;0;0;0;0.200000
10.64899;53.000;0.100;0;0;0;0.200000
10.65067;54.000;0.110;0;0;0;0.200000
10.65235;55.000;0.110;0;0;0;0.200000
10.65403;56.000;0.110;0;0;0;0.200000
10.65571;57.000;0.110;0;0;0;0.200000
10.65739;58.000;0.110;0;0;0;0.200000
10.65907;59.000;0.110;0;0;0;0.200000
10.66075;60.000;0.110;0;0;0;0.200000
10.66243;61.000;0.110;0;0;0;0.200000
10.66411;62.000;0.110;0;0;0;0.200000
10.66579;63.000;0.110;0;0;0;0.200000
10.66747;64.000;0.110;0;0;0;0.200000
10.70237;65.000;0.090;0;0;0;0.200000
10.70405;66.000;0.090;0;0;0;0.200000
10.70573;67.000;0.090;0;0;0;0.200000
10.70741;68.000;0.090;0;0;0;0.200000
10.70909;69.000;0.090;0;0;0;0.200000
10.71077;70.000;0.090;0;0;0;0.200000
10.71245;71.000;0.090;0;0;0;0.200000
10.71413;72.000;0.090;0;0;0;0.200000
10.71581;73.000;0.090;0;0;0;0.200000
10.71749;74.000;0.100;0;0;0;0.200000
10.71917;75.000;0.100;0;0;0;0.200000
10.72085;76.000;0.100;0;0;0;0.200000
10.72253;77.000;0.100;0;0;0;0.200000
10.72421;78.000;0.100;0;0;0;0.200000
10.72589;79.000;0.100;0;0;0;0.200000
10.72757;80.000;0.100;0;0;0;0.200000
10.72925;81.000;0.100;0;0;0;0.200000
10.73093;82.000;0.100;0;0;0;0.200000
10.73261;83.000;0.100;0;0;0;0.200000
10.73429;84.000;0.100;0;0;0;0.200000
10.73597;85.000;0.100;0;0;0;0.200000
10.73765;86.000;0.110;0;0;0;0.200000
10.73933;87.000;0.110;0;0;0;0.200000
10.74101;88.000;0.110;0;0;0;0.200000
10.74269;89.000;0.110;0;0;0;0.200000
10.74437;90.000;0.110;0;0;0;0.200000
10.74605;91.000;0.110;0;0;0;0.200000
10.74773;92.000;0.110;0;0;0;0.200000
10.74941;93.000;0.110;0;0;0;0.200000
10.75109;94.000;0.110;0;0;0;0.200000
10.75277;95.000;0.110;0;0;0;0.200000
10.75445;96.000;0.110;0;0;0;0.200000
10.75613;97.000;0.110;0;0;0;0.200000
10.75781;98.000;0.120;0;0;0;0.200000
10.75949;99.000;0.120;0;0;0;0.200000
10.76117;100.000;0.120;0;0;0;0.200000
10.76285;101.000;0.120;0;0;1.000;0.200000
10.76453;102.000;0.120;0;0;2.000;0.200000
10.76621;103.000;0.120;0;0;3.000;0.200000
10.76789;104.000;0.120;0;0;4.000;0.200000
10.76957;105.000;0.120;0;0;5.000;0.200000
10.77125;106.000;0.120;0;0;6.000;0.200000
10.77293;107.000;0.120;0;0;7.000;0.200000
10.77461;108.000;0.120;0;0;8.000;0.200000
10.77629;109.000;0.120;0;0;9.000;0.200000
10.77797;110.000;0.130;0;0;10.000;0.200000
10.77965;111.000;0.130;0;0;11.000;0.200000
10.78133;112.000;0.130;0;0;12.000;0.200000
10.78301;113.000;0.130;0;0;13.000;0.200000
10.78469;114.000;0.130;0;0;14.000;0.200000
10.78637;115.000;0.130;0;0;15.000;0.200000
10.78805;116.000;0.130;0;0;16.000;0.200000
10.78973;117.000;0.130;0;0;17.000;0.200000
10.79141;118.000;0.130;0;0;18.000;0.200000
10.79309;119.000;0.130;0;0;19.000;0.200000
10.79477;120.000;0.130;0;0;20.000;0.200000
10.79645;121.000;0.130;0;0;21.000;0.200000
10.79813;122.000;0.140;0;0;22.000;0.200000
10.79981;123.000;0.140;0;0;23.000;0.200000
10.80149;124.000;0.140;0;0;24.000;0.200000
10.80317;125.000;0.140;0;0;25.000;0.200000
10.80485;126.000;0.140;0;0;26.000;0.200000
10.80653;127.000;0.140;0;0;27.000;0.200000
10.80821;128.000;0.140;0;0;28.000;0.200000
10.80989;129.000;0.110;0;0;29.000;0.200000
10.81157;130.000;0.110;0;0;30.000;0.200000
10.81325;131.000;0.110;0;0;31.000;0.200000
10.81493;132.000;0.110;0;0;32.000;0.200000
10.81661;133.000;0.110;0;0;33.000;0.200000
10.81829;134.000;0.110;0;0;34.000;0.200000
10.81997;135.000;0.110;0;0;35.000;0.200000
10.82165;136.000;0.110;0;0;36.000;0.200000
10.82333;137.000;0.110;0;0;37.000;0.200000
10.82501;138.000;0.120;0;0;38.000;0.200000
10.82669;139.000;0.120;0;0;39.000;0.200000
10.82837;140.000;0.120;0;0;40.000;0.200000
10.83005;141.000;0.120;0;0;41.000;0.200000
10.83173;142.000;0.120;0;0;42.000;0.200000
10.83341;143.000;0.120;0;0;43.000;0.200000
10.83509;144.000;0.120;0;0;44.000;0.200000
10.83677;145.000;0.120;0;0;45.000;0.200000
10.83845;146.000;0.120;0;0;46.000;0.200000
10.84013;147.000;0.120;0;0;47.000;0.200000
10.84181;148.000;0.120;0;0;48.000;0.200000
10.84349;149.000;0.120;0;0;49.000;0.200000
10.84517;150.000;0.130;0;0;50.000;0.200000
10.84685;151.000;0.130;0;0;51.000;0.200000
10.84853;152.000;0.130;0;0;52.000;0.200000
10.85021;153.000;0.130;0;0;53.000;0.200000
10.85189;154.000;0.130;0;0;54.000;0.200000
10.85357;155.000;0.130;0;0;55.000;0.200000
10.85525;156.000;0.130;0;0;56.000;0.200000
10.85693;157.000;0.130;0;0;57.000;0.200000
10.85861;158.000;0.130;0;0;58.000;0.200000
10.86029;159.000;0.130;0;0;59.000;0.200000
10.86197;160.000;0.130;0;0;60.000;0.200000
10.86365;161.000;0.130;0;0;61.000;0.200000
10.86533;162.000;0.140;0;0;62.000;0.200000
10.86701;163.000;0.140;0;0;63.000;0.200000
10.86869;164.000;0.140;0;0;64.000;0.200000
10.87037;165.000;0.140;0;0;65.000;0.200000
10.87205;166.000;0.140;0;0;66.000;0.200000
10.87373;167.000;0.140;0;0;67.000;0.200000
10.87541;168.000;0.140;0;0;68.000;0.200000
10.87709;169.000;0.140;0;0;69.000;0.200000
10.87877;170.000;0.140;0;0;70.000;0.200000
10.88045;171.000;0.140;0;0;71.000;0.200000
10.88213;172.000;0.140;0;0;72.000;0.200000
10.88381;173.000;0.140;0;0;73.000;0.200000
10.88549;174.000;0.150;0;0;74.000;0.200000
10.88717;175.000;0.150;0;0;75.000;0.200000
10.88885;176.000;0.150;0;0;76.000;0.200000
10.89053;177.000;0.150;0;0;77.000;0.200000
10.89221;178.000;0.150;0;0;78.000;0.200000
10.89389;179.000;0.150;0;0;79.000;0.200000
10.89557;180.000;0.150;0;0;80.000;0.200000
10.89725;181.000;0.150;0;0;81.000;0.200000
10.89893;182.000;0.150;0;0;82.000;0.200000
10.90061;183.000;0.150;0;0;83.000;0.200000
10.90229;184.000;0.150;0;0;84.000;0.200000
10.90397;185.000;0.150;0;0;85.000;0.200000
10.90565;186.000;0.160;0;0;86.000;0.200000
10.90733;187.000;0.160;0;0;87.000;0.200000
10.90901;188.000;0.160;0;0;88.000;0.200000
10.91069;189.000;0.160;0;0;89.000;0.200000
10.91237;190.000;0.160;0;0;90.000;0.200000
10.91405;191.000;0.160;0;0;91.000;0.200000
10.91573;192.000;0.160;0;0;92.000;0.200000
10.91741;193.000;0.160;0;0;93.000;0.200000
10.91909;194.000;0.160;0;0;94.000;0.200000
10.92077;195.000;0.160;0;0;95.000;0.200000
10.92245;196.000;0.160;0;0;96.000;0.200000
10.92413;197.000;0.160;0;0;97.000;0.200000
10.92581;198.000;0.170;0;0;98.000;0.200000
10.92749;199.000;0.170;0;0;99.000;0.200000
10.92917;200.000;0.170;0;0;100.000;0.200000
10.93085;201.000;0.170;0;0;101.000;0.200000
10.93253;201.000;0.170;1;0;101.000;0.200000
10.93421;201.000;0.170;2;0;101.000;0.200000
10.93589;100.500;0.170;3;1;101.000;0.200000
10.93757;100.500;0.170;4;1;101.000;0.200000
10.93925;100.500;0.170;5;1;101.000;0.200000
10.94093;100.500;0.170;6;1;101.000;0.200000
10.94261;100.500;0.170;7;1;101.000;0.200000
10.94429;100.500;0.170;8;1;101.000;0.200000
10.94597;100.500;0.170;9;1;101.000;0.200000
10.94765;100.500;0.170;10;1;101.000;0.200000
10.94933;100.500;0.170;11;1;101.000;0.200000
10.95101;100.500;0.170;12;1;101.000;0.200000
10.95269;100.500;0.170;13;1;101.000;0.200000
10.95437;100.500;0.170;14;1;101.000;0.200000
10.95605;100.500;0.170;15;1;101.000;0.200000
10.95773;100.500;0.170;16;1;101.000;0.200000
10.95941;100.500;0.170;17;1;101.000;0.200000
10.96109;100.500;0.170;18;1;101.000;0.200000
10.96277;100.500;0.170;19;1;101.000;0.200000
10.96445;100.500;0.170;20;1;101.000;0.200000
10.96613;100.500;0.170;21;1;101.000;0.200000
10.96781;100.500;0.170;22;1;101.000;0.200000
10.96949;100.500;0.170;23;1;101.000;0.200000
10.97117;100.500;0.170;24;1;101.000;0.200000
10.97285;100.500;0.170;25;1;101.000;0.200000
10.97453;100.500;0.170;26;1;101.000;0.200000
10.97621;100.500;0.170;27;1;101.000;0.200000
10.97789;100.500;0.170;28;1;101.000;0.200000
10.97957;100.500;0.170;29;1;101.000;0.200000
10.98125;100.500;0.170;30;1;101.000;0.200000
10.98293;100.500;0.170;31;1;101.000;0.200000
10.98461;100.500;0.170;32;1;101.000;0.200000
10.98629;100.500;0.170;33;1;101.000;0.200000
10.98797;100.500;0.170;34;1;101.000;0.200000
10.98965;100.500;0.170;35;1;101.000;0.200000
10.99133;100.500;0.170;36;1;101.000;0.200000
10.99301;100.500;0.170;37;1;101.000;0.200000
10.99469;100.500;0.170;38;1;101.000;0.200000
10.99637;100.500;0.170;39;1;101.000;0.200000
10.99805;100.500;0.170;40;1;101.000;0.200000
10.99973;100.500;0.170;41;1;101.000;0.200000
11.00141;100.500;0.170;42;1;101.000;0.200000
11.00309;100.500;0.170;43;1;101.000;0.200000
11.00477;100.500;0.170;44;1;101.000;0.200000
11.00645;100.500;0.170;45;1;101.000;0.200000
11.00813;100.500;0.170;46;1;101.000;0.200000
11.00981;100.500;0.170;47;1;101.000;0.200000
11.01149;100.500;0.170;48;1;101.000;0.200000
